key,reg_name,cutout
ALTorch_Wall_Magenta_Wool,al_wall_torch_magenta_wool,false
ALTorch_Wall_Crimson,al_wall_torch_crimson_planks,false
ALTorch_Wall_Warped,al_wall_torch_warped_planks,false
ALTorch_Wall_BlackStone,al_wall_torch_blackstone,false
StandingTorch_S_Stone_Bricks,standing_torch_s_stone_bricks,false
StandingTorch_S_Mossy_Stone_Bricks,standing_torch_s_mossy_stone_bricks,false
StandingTorch_S_End_Stone_Bricks,standing_torch_s_end_stone_bricks,false
StandingTorch_S_Nether_Bricks,standing_torch_s_nether_bricks,false
StandingTorch_S_Red_Nether_Bricks,standing_torch_s_red_nether_bricks,false
StandingTorch_S_Smooth_Stone,standing_torch_s_smooth_stone,false
StandingTorch_S_Polished_Andesite,standing_torch_s_polished_andesite,false
StandingTorch_S_Polished_Diorite,standing_torch_s_polished_diorite,false
StandingTorch_S_Polished_Granite,standing_torch_s_polished_granite,false
StandingTorch_S_Stone,standing_torch_s_stone,false
StandingTorch_S_CobbleStone,standing_torch_s_cobblestone,false
StandingTorch_S_Mossy_CobbleStone,standing_torch_s_mossy_cobblestone,false
StandingTorch_S_Sand_Stone,standing_torch_s_sandstone,false
StandingTorch_S_Cut_Sand_Stone,standing_torch_s_cut_sandstone,false
StandingTorch_S_End_Stone,standing_torch_s_end_stone,false
StandingTorch_S_Iron,standing_torch_s_iron_block,false
StandingTorch_S_Gold,standing_torch_s_gold_block,false
StandingTorch_S_Diamond,standing_torch_s_diamond_block,false
StandingTorch_S_Packed_Ice,standing_torch_s_packed_ice,false
StandingTorch_S_Pink_Wool,standing_torch_s_pink_wool,false
StandingTorch_S_Magenta_Wool,standing_torch_s_magenta_wool,false
StandingTorch_S_Polished_BlackStone,standing_torch_s_polished_blackstone,false
StandingTorch_S_Quartz_Bricks,standing_torch_s_quartz_bricks,false
StandingTorch_S_Quartz_Block,standing_torch_s_quartz_block,false
StandingTorch_L_Stone_Bricks,standing_torch_l_stone_bricks,false
StandingTorch_L_Mossy_Stone_Bricks,standing_torch_l_mossy_stone_bricks,false
StandingTorch_L_End_Stone_Bricks,standing_torch_l_end_stone_bricks,false
StandingTorch_L_Nether_Bricks,standing_torch_l_nether_bricks,false
StandingTorch_L_Red_Nether_Bricks,standing_torch_l_red_nether_bricks,false
StandingTorch_L_Smooth_Stone,standing_torch_l_smooth_stone,false
StandingTorch_L_Polished_Andesite,standing_torch_l_polished_andesite,false
StandingTorch_L_Polished_Diorite,standing_torch_l_polished_diorite,false
StandingTorch_L_Polished_Granite,standing_torch_l_polished_granite,false
StandingTorch_L_Stone,standing_torch_l_stone,false
StandingTorch_L_CobbleStone,standing_torch_l_cobblestone,false
StandingTorch_L_Mossy_CobbleStone,standing_torch_l_mossy_cobblestone,false
StandingTorch_L_Sand_Stone,standing_torch_l_sandstone,false
StandingTorch_L_Cut_Sand_Stone,standing_torch_l_cut_sandstone,false
StandingTorch_L_End_Stone,standing_torch_l_end_stone,false
StandingTorch_L_Iron,standing_torch_l_iron_block,false
StandingTorch_L_Gold,standing_torch_l_gold_block,false
StandingTorch_L_Diamond,standing_torch_l_diamond_block,false
StandingTorch_L_Packed_Ice,standing_torch_l_packed_ice,false
StandingTorch_L_Pink_Wool,standing_torch_l_pink_wool,false
StandingTorch_L_Magenta_Wool,standing_torch_l_magenta_wool,false
StandingTorch_L_Polished_BlackStone,standing_torch_l_polished_blackstone,false
StandingTorch_L_Quartz_Bricks,standing_torch_l_quartz_bricks,false
StandingTorch_L_Quartz_Block,standing_torch_l_quartz_block,false
FirePit_S_Stone_Bricks,fire_pit_s_stone_bricks,false
FirePit_S_Mossy_Stone_Bricks,fire_pit_s_mossy_stone_bricks,false
FirePit_S_End_Stone_Bricks,fire_pit_s_end_stone_bricks,false
FirePit_S_Nether_Bricks,fire_pit_s_nether_bricks,false
FirePit_S_Red_Nether_Bricks,fire_pit_s_red_nether_bricks,false
FirePit_S_Smooth_Stone,fire_pit_s_smooth_stone,false
FirePit_S_Polished_Andesite,fire_pit_s_polished_andesite,false
FirePit_S_Polished_Diorite,fire_pit_s_polished_diorite,false
FirePit_S_Polished_Granite,fire_pit_s_polished_granite,false
FirePit_S_Stone,fire_pit_s_stone,false
FirePit_S_CobbleStone,fire_pit_s_cobblestone,false
FirePit_S_Mossy_CobbleStone,fire_pit_s_mossy_cobblestone,false
FirePit_S_Sand_Stone,fire_pit_s_sandstone,false
FirePit_S_Cut_Sand_Stone,fire_pit_s_cut_sandstone,false
FirePit_S_End_Stone,fire_pit_s_end_stone,false
FirePit_S_Iron,fire_pit_s_iron_block,false
FirePit_S_Gold,fire_pit_s_gold_block,false
FirePit_S_Diamond,fire_pit_s_diamond_block,false
FirePit_S_Ice,fire_pit_s_packed_ice,false
FirePit_S_Pink_Wool,fire_pit_s_pink_wool,false
FirePit_S_Magenta_Wool,fire_pit_s_magenta_wool,false
FirePit_S_Polished_BlackStone,fire_pit_s_polished_blackstone,false
FirePit_S_Quartz_Bricks,fire_pit_s_quartz_bricks,false
FirePit_S_Quartz_Block,fire_pit_s_quartz_block,false
FirePit_L_Stone_Bricks,fire_pit_l_stone_bricks,false
FirePit_L_Mossy_Stone_Bricks,fire_pit_l_mossy_stone_bricks,false
FirePit_L_End_Stone_Bricks,fire_pit_l_end_stone_bricks,false
FirePit_L_Nether_Bricks,fire_pit_l_nether_bricks,false
FirePit_L_Red_Nether_Bricks,fire_pit_l_red_nether_bricks,false
FirePit_L_Smooth_Stone,fire_pit_l_smooth_stone,false
FirePit_L_Polished_Andesite,fire_pit_l_polished_andesite,false
FirePit_L_Polished_Diorite,fire_pit_l_polished_diorite,false
FirePit_L_Polished_Granite,fire_pit_l_polished_granite,false
FirePit_L_Stone,fire_pit_l_stone,false
FirePit_L_CobbleStone,fire_pit_l_cobblestone,false
FirePit_L_Mossy_CobbleStone,fire_pit_l_mossy_cobblestone,false
FirePit_L_Sand_Stone,fire_pit_l_sandstone,false
FirePit_L_Cut_Sand_Stone,fire_pit_l_cut_sandstone,false
FirePit_L_End_Stone,fire_pit_l_end_stone,false
FirePit_L_Iron,fire_pit_l_iron_block,false
FirePit_L_Gold,fire_pit_l_gold_block,false
FirePit_L_Diamond,fire_pit_l_diamond_block,false
FirePit_L_Ice,fire_pit_l_packed_ice,false
FirePit_L_Pink_Wool,fire_pit_l_pink_wool,false
FirePit_L_Magenta_Wool,fire_pit_l_magenta_wool,false
FirePit_L_Polished_BlackStone,fire_pit_l_polished_blackstone,false
FirePit_L_Quartz_Bricks,fire_pit_l_quartz_bricks,false
FirePit_L_Quartz_Block,fire_pit_l_quartz_block,false
Fire_For_StandingTorch_S,fire_for_standing_torch_s,true
Fire_For_StandingTorch_L,fire_for_standing_torch_l,true
Fire_For_FirePit_S,fire_for_fire_pit_s,true
Fire_For_FirePit_L,fire_for_fire_pit_l,true
SoulFire_For_StandingTorch_S,soul_fire_for_standing_torch_s,true
SoulFire_For_StandingTorch_L,soul_fire_for_standing_torch_l,true
SoulFire_For_FirePit_S,soul_fire_for_fire_pit_s,true
SoulFire_For_FirePit_L,soul_fire_for_fire_pit_l,true
